Date,Open,High,Low,Close,Volume
2017-08-28,116.73,117.95,115.1,117.52,113778
2017-08-25,114.5,117.07,113.95,116.28,102701
2017-08-24,115.5,115.5,113.5,114.32,93288
2017-08-23,114.9,115.6,113.81,115.31,49003
2017-08-22,112.82,116.81,112.22,115.98,179463
2017-08-21,115.87,116.06,112.15,112.64,150995
2017-08-18,113.96,116.18,112.3,115.18,124453
2017-08-17,114.71,117.67,114.6,114.94,148857
2017-08-16,116.5,117.18,115.5,116.26,268425
2017-08-15,118.55,119.51,115.92,116.1,94016
2017-08-14,119.43,120.43,118.06,118.43,81250
2017-08-11,117.12,119.08,116.91,118.48,100372
2017-08-10,117.7,118.99,116.37,118.03,115652
2017-08-09,117.58,119.5,116.83,118.65,100181
2017-08-08,118.09,120.34,117.86,118.54,112662
2017-08-07,119.26,119.53,117.76,118.55,108804
2017-08-04,115.69,119.87,114.11,118.95,182195
2017-08-03,116.61,117.72,114.22,115.02,147028
2017-08-02,121.5,122.7,115.78,116.73,157097
2017-08-01,121,123.38,116.05,121.41,493310
2017-07-31,,118.1,114.05,117.97,236199
2017-07-28,114.4,116.18,114.36,115.55,120949
2017-07-27,118.44,119.09,112.29,115.21,86448
2017-07-26,118.05,119.17,117.05,118.19,96519
2017-07-25,115,118.08,114.54,118.03,98168
2017-07-24,116.75,117.75,114.63,114.95,127701
2017-07-21,119.21,119.46,116.59,116.86,142188
2017-07-20,117.51,118.33,116.08,118.27,86814
2017-07-19,111.88,118.24,111.88,117.88,176091
2017-07-18,110.65,111.36,110.12,111.22,165816
2017-07-17,111.5,111.97,110.28,111,100798
2017-07-14,110.8,111.98,110.8,111.5,99952
2017-07-13,111.44,111.7,109.6,111.18,104172
2017-07-12,111.55,112.91,110.37,111.74,96695
2017-07-11,111.66,112.38,109.93,110.85,122195
2017-07-10,113.28,113.93,110.43,110.62,121653
2017-07-07,110.65,114.45,108.94,112.96,131523
2017-07-06,109.1,110.81,107.24,110.52,131178
2017-07-05,108.84,110.5,108.18,110.4,84505
2017-07-03,107.93,110.11,107.55,108.65,44048
2017-06-30,108.6,109.31,107.58,108.62,80214
2017-06-29,110.45,110.45,105.68,108.35,121413
2017-06-28,106.57,110.64,105.62,110.45,95255
2017-06-27,108.41,108.43,105.39,105.65,61169
2017-06-26,110.93,111.84,107.3,108.12,152116
2017-06-23,106.77,110.37,106.77,109.91,343780
2017-06-22,108.05,108.3,105.63,106.75,97867
2017-06-21,107.15,108.67,106.92,107.59,78891
